   0.0000000e+00  -1.5360102e-01   1.6487801e+00   3.5530600e+00   1.3190241e-01  -3.9576329e-25  -5.7649148e-23
   1.0000000e-04  -1.5842128e-01   1.6517247e+00   3.5566296e+00   1.3207880e-01   1.0800929e-21  -1.4970555e-21
   2.0000000e-04  -1.6324952e-01   1.6546690e+00   3.5602000e+00   1.3225517e-01  -8.7372387e-22   8.7140468e-22
   3.0000000e-04  -1.6808117e-01   1.6576098e+00   3.5637701e+00   1.3243127e-01  -4.5086153e-22  -3.0418647e-21
   4.0000000e-04  -1.7291587e-01   1.6605471e+00   3.5673395e+00   1.3260708e-01   8.7265124e-22   1.2966558e-21
   5.0000000e-04  -1.7775363e-01   1.6634809e+00   3.5709081e+00   1.3278261e-01   4.1970473e-22   4.2036145e-22
   6.0000000e-04  -1.8259442e-01   1.6664111e+00   3.5744759e+00   1.3295785e-01   1.5383761e-21   3.7236655e-21
   7.0000000e-04  -1.8743824e-01   1.6693376e+00   3.5780430e+00   1.3313281e-01  -1.0871800e-21  -2.5149761e-22
   8.0000000e-04  -1.9228508e-01   1.6722607e+00   3.5816093e+00   1.3330747e-01  -2.1797512e-21  -4.2570179e-22
   9.0000000e-04  -1.9713494e-01   1.6751801e+00   3.5851749e+00   1.3348186e-01  -4.1808652e-22  -8.4142118e-22
   1.0000000e-03  -2.0198780e-01   1.6780959e+00   3.5887397e+00   1.3365595e-01  -1.0897318e-21  -1.0960181e-21
   1.1000000e-03  -2.0684366e-01   1.6810081e+00   3.5923037e+00   1.3382976e-01   2.0299738e-22   1.9789156e-21
   1.2000000e-03  -2.1170251e-01   1.6839168e+00   3.5958670e+00   1.3400328e-01   4.6312995e-22   4.6592332e-22
   1.3000000e-03  -2.1656433e-01   1.6868218e+00   3.5994295e+00   1.3417651e-01   2.0971838e-22   2.1135595e-22
   1.4000000e-03  -2.2142913e-01   1.6897232e+00   3.6029912e+00   1.3434945e-01   1.5133961e-21   1.1044173e-21
   1.5000000e-03  -2.2629689e-01   1.6926210e+00   3.6065521e+00   1.3452210e-01   8.8673126e-22   4.7148098e-22
   1.6000000e-03  -2.3116760e-01   1.6955151e+00   3.6101122e+00   1.3469447e-01   4.2113983e-22   1.8814976e-24
   1.7000000e-03  -2.3604126e-01   1.6984057e+00   3.6136715e+00   1.3486654e-01  -8.8882576e-22  -4.7493361e-22
   1.8000000e-03  -2.4091786e-01   1.7012926e+00   3.6172300e+00   1.3503832e-01  -6.6550975e-22  -2.8907778e-21
   1.9000000e-03  -2.4579738e-01   1.7041758e+00   3.6207877e+00   1.3520982e-01   2.2173767e-22  -1.9959569e-21
   2.0000000e-03  -2.5067983e-01   1.7070555e+00   3.6243446e+00   1.3538102e-01  -2.2114102e-21  -1.4405028e-23
   2.1000000e-03  -2.5556518e-01   1.7099314e+00   3.6279007e+00   1.3555193e-01   1.0992156e-21   1.1142368e-21
   2.2000000e-03  -2.6045344e-01   1.7128037e+00   3.6314560e+00   1.3572255e-01   8.9389815e-22   4.8171008e-22
   2.3000000e-03  -2.6534459e-01   1.7156724e+00   3.6350105e+00   1.3589287e-01   8.9809647e-22   6.1671589e-23
   2.4000000e-03  -2.7023863e-01   1.7185374e+00   3.6385641e+00   1.3606290e-01  -2.2167572e-21  -4.3842155e-22
   2.5000000e-03  -2.7513555e-01   1.7213987e+00   3.6421169e+00   1.3623264e-01  -2.2226334e-21  -1.6720084e-23
   2.6000000e-03  -2.8003533e-01   1.7242564e+00   3.6456688e+00   1.3640209e-01  -2.4304535e-21  -6.5174249e-22
   2.7000000e-03  -2.8493797e-01   1.7271103e+00   3.6492200e+00   1.3657124e-01   9.1032170e-22  -8.9447020e-22
   2.8000000e-03  -2.8984346e-01   1.7299606e+00   3.6527702e+00   1.3674010e-01   1.0974622e-21   1.9673460e-21
   2.9000000e-03  -2.9475179e-01   1.7328072e+00   3.6563197e+00   1.3690867e-01  -4.2094334e-22  -4.1286479e-24
   3.0000000e-03  -2.9966296e-01   1.7356501e+00   3.6598682e+00   1.3707694e-01   1.3066480e-21   2.3104031e-21
   3.1000000e-03  -3.0457695e-01   1.7384893e+00   3.6634160e+00   1.3724491e-01   2.1357457e-22  -2.0934937e-22
   3.2000000e-03  -3.0949376e-01   1.7413248e+00   3.6669628e+00   1.3741259e-01   1.3124428e-21   1.7651545e-21
   3.3000000e-03  -3.1441337e-01   1.7441566e+00   3.6705088e+00   1.3757997e-01   4.9643721e-24  -4.2222538e-22
   3.4000000e-03  -3.1933578e-01   1.7469846e+00   3.6740539e+00   1.3774706e-01  -1.3469702e-21   1.3185001e-21
   3.5000000e-03  -3.2426098e-01   1.7498090e+00   3.6775982e+00   1.3791385e-01  -2.4100532e-23   2.2469036e-21
   3.6000000e-03  -3.2918896e-01   1.7526296e+00   3.6811416e+00   1.3808034e-01   1.1123345e-21   1.1368298e-21
   3.7000000e-03  -3.3411971e-01   1.7554465e+00   3.6846841e+00   1.3824653e-01  -1.8696673e-22  -2.0431245e-21
   3.8000000e-03  -3.3905322e-01   1.7582597e+00   3.6882257e+00   1.3841243e-01  -1.3222139e-21  -1.3532464e-21
   3.9000000e-03  -3.4398949e-01   1.7610691e+00   3.6917664e+00   1.3857803e-01   4.2150930e-22   5.3891876e-24
   4.0000000e-03  -3.4892850e-01   1.7638748e+00   3.6953062e+00   1.3874333e-01  -1.6288033e-21   1.9024027e-22
   4.1000000e-03  -3.5387024e-01   1.7666767e+00   3.6988451e+00   1.3890833e-01  -1.2943356e-21  -3.6185008e-21
