   2.0000000e-04   1.5000039e+00   1.8007446e-01   3.0008297e+01   1.0553922e+00
   3.0000000e-04   1.5000154e+00   2.5737024e-01   3.0016596e+01   6.1878182e-01
   4.0000000e-04   1.5000347e+00   3.3473116e-01   3.0024869e+01   6.1931300e-01
   5.0000000e-04   1.5000618e+00   4.1215809e-01   3.0033117e+01   6.1984540e-01
   6.0000000e-04   1.5000966e+00   4.8965197e-01   3.0041339e+01   6.2037901e-01
   7.0000000e-04   1.5001391e+00   5.6721375e-01   3.0049536e+01   6.2091382e-01
   8.0000000e-04   1.5001894e+00   6.4484437e-01   3.0057707e+01   6.2144984e-01
   9.0000000e-04   1.5002474e+00   7.2254478e-01   3.0065853e+01   6.2198707e-01
   1.0000000e-03   1.5003132e+00   8.0031592e-01   3.0073973e+01   6.2252550e-01
   1.1000000e-03   1.5003868e+00   8.7815875e-01   3.0082068e+01   6.2306514e-01
   1.2000000e-03   1.5004682e+00   9.5607422e-01   3.0090136e+01   6.2360599e-01
   1.3000000e-03   1.5005574e+00   1.0340633e+00   3.0098179e+01   6.2414804e-01
   1.4000000e-03   1.5006543e+00   1.1121269e+00   3.0106196e+01   6.2469129e-01
   1.5000000e-03   1.5007591e+00   1.1902661e+00   3.0114187e+01   6.2523574e-01
   1.6000000e-03   1.5008717e+00   1.2684817e+00   3.0122152e+01   6.2578139e-01
   1.7000000e-03   1.5009921e+00   1.3467747e+00   3.0130091e+01   6.2632824e-01
   1.8000000e-03   1.5011203e+00   1.4251462e+00   3.0138004e+01   6.2687629e-01
   1.9000000e-03   1.5012564e+00   1.5035971e+00   3.0145890e+01   6.2742554e-01
   2.0000000e-03   1.5014003e+00   1.5821283e+00   3.0153751e+01   6.2797598e-01
   2.1000000e-03   1.5015521e+00   1.6607408e+00   3.0161585e+01   6.2852761e-01
   2.2000000e-03   1.5017117e+00   1.7394356e+00   3.0169392e+01   6.2908044e-01
   2.3000000e-03   1.5018792e+00   1.8182136e+00   3.0177173e+01   6.2963445e-01
   2.4000000e-03   1.5020546e+00   1.8970759e+00   3.0184928e+01   6.3018965e-01
   2.5000000e-03   1.5022378e+00   1.9760235e+00   3.0192656e+01   6.3074604e-01
   2.6000000e-03   1.5024290e+00   2.0550572e+00   3.0200357e+01   6.3130361e-01
   2.7000000e-03   1.5026281e+00   2.1341782e+00   3.0208032e+01   6.3186236e-01
   2.8000000e-03   1.5028350e+00   2.2133873e+00   3.0215679e+01   6.3242229e-01
   2.9000000e-03   1.5030500e+00   2.2926855e+00   3.0223300e+01   6.3298340e-01
   3.0000000e-03   1.5032728e+00   2.3720740e+00   3.0230894e+01   6.3354568e-01
   3.1000000e-03   1.5035036e+00   2.4515535e+00   3.0238461e+01   6.3410913e-01
   3.2000000e-03   1.5037423e+00   2.5311252e+00   3.0246000e+01   6.3467375e-01
   3.3000000e-03   1.5039890e+00   2.6107900e+00   3.0253513e+01   6.3523954e-01
   3.4000000e-03   1.5042436e+00   2.6905489e+00   3.0260998e+01   6.3580648e-01
   3.5000000e-03   1.5045063e+00   2.7704030e+00   3.0268455e+01   6.3637459e-01
   3.6000000e-03   1.5047769e+00   2.8503531e+00   3.0275886e+01   6.3694385e-01
   3.7000000e-03   1.5050555e+00   2.9304004e+00   3.0283288e+01   6.3751427e-01
   3.8000000e-03   1.5053421e+00   3.0105457e+00   3.0290663e+01   6.3808583e-01
