#x	Curve1
0.342942	51.6718
0.343705	50.7983
0.344468	49.9248
0.345231	49.0513
0.345994	48.1777
0.346733	46.6492
0.346766	47.5225
0.347496	45.7757
0.348259	44.9021
0.349023	44.0286
0.349753	42.2817
0.349786	43.1551
0.350516	41.4082
0.351279	40.5347
0.35201	38.7878
0.352043	39.6611
0.352773	37.9142
0.353536	37.0407
0.354275	35.5122
0.354299	36.1672
0.355038	34.6386
0.355801	33.7651
0.356532	32.0182
0.356565	32.8916
0.357295	31.1447
0.358026	29.3978
0.358058	30.2712
0.358789	28.5243
0.359552	27.6508
0.360315	26.7772
0.361086	26.122
0.36185	25.2485
0.362613	24.375
0.363376	23.5014
0.364139	22.6279
0.365698	21.7542
0.366461	20.8807
0.367224	20.0072
0.367995	19.352
0.368758	18.4784
0.369521	17.6049
0.37108	16.7312
0.371851	16.076
0.372614	15.2025
0.374173	14.3288
0.374936	13.4553
0.375699	12.5817
0.376462	11.7082
0.377233	11.053
0.377997	10.1795
0.37876	9.30595
0.379523	8.43242
0.380286	7.55889
0.381845	6.68519
0.382608	5.81166
0.383346	4.28311
0.383379	5.15647
0.38411	3.40958
0.384873	2.53605
0.385636	1.66252
0.386399	0.788996
0.387162	-0.0845332
0.387925	-0.958062
0.388688	-1.83159
0.38946	-2.48678
0.390223	-3.36031
0.390986	-4.23384
0.391749	-5.10737
0.39248	-6.85425
0.392512	-5.9809
0.393243	-7.72778
0.394006	-8.60131
0.394769	-9.47484
0.39554	-10.13
0.396303	-11.0036
0.397066	-11.8771
0.397829	-12.7506
0.398593	-13.6241
0.399356	-14.4977
0.400119	-15.3712
0.400882	-16.2447
0.401645	-17.1183
0.402416	-17.7735
0.403179	-18.647
0.403942	-19.5205
0.404706	-20.394
0.405436	-22.1409
0.405469	-21.2676
0.406199	-23.0145
0.407758	-23.8882
0.408529	-24.5433
0.409292	-25.4169
0.410056	-26.2904
0.410819	-27.1639
0.411582	-28.0375
0.412345	-28.911
0.413912	-29.5664
0.414675	-30.4399
0.415438	-31.3134
0.416201	-32.1869
0.41776	-33.0606
0.418531	-33.7158
0.420089	-34.5895
0.420853	-35.4631
0.422419	-36.1184
0.423182	-36.992
0.4263	-38.7394
0.427867	-39.3947
0.429425	-40.2684
0.430992	-40.9238
0.432551	-41.7975
0.434117	-42.4529
0.43648	-43.1084
0.438842	-43.7639
0.440409	-44.4193
0.443575	-44.8567
0.446749	-45.0757
0.449119	-45.5129
0.452301	-45.5136
0.455492	-45.296
0.45869	-44.86
0.461093	-44.4238
0.463504	-43.7693
0.465915	-43.1148
0.46753	-42.4602
0.469145	-41.8055
0.470769	-40.9325
0.472384	-40.2778
0.474	-39.6231
0.475623	-38.7501
0.476451	-37.877
0.478067	-37.2223
0.478894	-36.3491
0.480518	-35.4761
0.481346	-34.6029
0.482961	-33.9482
0.483789	-33.0751
0.485413	-32.2021
0.486241	-31.3289
0.487061	-30.674
0.488684	-29.801
0.489512	-28.9278
0.49034	-28.0547
0.491168	-27.1815
0.492783	-26.5268
0.493611	-25.6536
0.494439	-24.7804
0.495267	-23.9073
0.496891	-23.0343
0.497711	-22.3794
0.498539	-21.5062
0.499367	-20.633
0.50099	-19.76
0.501818	-18.8869
0.502638	-18.232
0.503466	-17.3588
0.505089	-16.4858
0.505917	-15.6126
0.506737	-14.9578
0.507565	-14.0846
0.509189	-13.2116
0.510017	-12.3384
0.510836	-11.6836
0.513288	-9.9374
0.514116	-9.06422
0.515739	-8.19121
0.516559	-7.53637
0.517387	-6.66318
0.518215	-5.79
0.519839	-4.917
0.520667	-4.04381
0.521486	-3.38897
0.52311	-2.51596
0.523938	-1.64278
0.524766	-0.7696
0.525586	-0.114757
0.527209	0.758251
0.528037	1.63143
0.528865	2.50461
0.530489	3.37762
0.531309	4.03247
0.532137	4.90565
0.532964	5.77883
0.534588	6.65184
0.535416	7.52502
0.536236	8.17986
0.537064	9.05304
0.537892	9.92622
0.53872	10.7994
0.539548	11.6726
0.540376	12.5458
0.541204	13.419
0.542023	14.0738
0.542851	14.947
0.543679	15.8202
0.544507	16.6933
0.545335	17.5665
0.546163	18.4397
0.546991	19.3129
0.547819	20.1861
0.548639	20.8409
0.549467	21.7141
0.550295	22.5873
0.551123	23.4605
0.551155	24.3338
0.551983	25.207
0.552811	26.0802
0.553639	26.9534
0.554467	27.8265
0.555295	28.6997
0.555328	29.5731
0.556156	30.4463
0.556975	31.1011
0.557803	31.9743
0.557836	32.8476
0.558664	33.7208
0.560336	35.9039
0.561164	36.777
0.561992	37.6502
0.56282	38.5234
0.562852	39.3968
0.56368	40.2699
0.5645	40.9248
0.565328	41.798
0.566156	42.6711
0.566984	43.5443
0.567016	44.4177
0.567844	45.2909
0.568672	46.164
0.5695	47.0372
0.570328	47.9104
0.571156	48.7836
0.571189	49.6569
0.572008	50.3118
0.572836	51.185
0.573664	52.0582
0.574492	52.9313
0.57532	53.8045
0.576944	54.6775
0.577772	55.5507
0.578592	56.2055
0.57942	57.0787
0.580247	57.9519
0.581871	58.8249
0.583486	59.4796
0.58511	60.3526
0.587513	60.7888
0.589916	61.2249
0.592278	60.5694
0.594648	60.1322
0.597002	59.2583
0.597774	58.6031
0.598537	57.7296
0.600095	56.8559
0.600859	55.9823
0.60163	55.3272
0.603188	54.4535
0.603952	53.5799
0.604715	52.7064
0.605478	51.8329
0.606208	50.086
0.606241	50.9593
0.60698	49.4308
0.607743	48.5573
0.608506	47.6837
0.609269	46.8102
0.610032	45.9367
0.610763	44.1898
0.610795	45.0631
0.611526	43.3163
0.612289	42.4427
0.61302	40.6958
0.613052	41.5692
0.613783	39.8223
0.614522	38.2938
0.614546	38.9488
0.615285	37.4202
0.616048	36.5467
0.616779	34.7998
0.616811	35.6732
0.617542	33.9263
0.618305	33.0528
0.619068	32.1792
0.619799	30.4324
0.619831	31.3057
0.620562	29.5588
0.621325	28.6853
0.622088	27.8118
0.622827	26.2832
0.622859	27.1566
0.62359	25.4097
0.624353	24.5362
0.625912	23.6625
0.626675	22.7889
0.627438	21.9154
0.628201	21.0419
0.628972	20.3867
0.629735	19.5132
0.630498	18.6396
0.632057	17.7659
0.632828	17.1107
0.633591	16.2372
0.63515	15.3635
0.635913	14.49
0.636676	13.6164
0.637439	12.7429
0.638211	12.0877
0.639769	11.214
0.640532	10.3405
0.641296	9.46697
0.642059	8.59344
0.64283	7.93825
0.643593	7.06472
0.644356	6.19119
0.645119	5.31766
0.645882	4.44413
0.646645	3.5706
0.647409	2.69707
0.648172	1.82354
0.648935	0.950014
0.649706	0.294824
0.650469	-0.578705
0.651232	-1.45223
0.651963	-3.19912
0.651995	-2.32576
0.652726	-4.07265
0.653489	-4.94618
0.654252	-5.81971
0.655015	-6.69323
0.655778	-7.56676
0.65655	-8.22195
0.65728	-9.96884
0.657313	-9.09548
0.658044	-10.8424
0.658807	-11.7159
0.65957	-12.5894
0.660333	-13.463
0.661096	-14.3365
0.661859	-15.21
0.66263	-15.8652
0.663393	-16.7387
0.664157	-17.6123
0.66492	-18.4858
0.665683	-19.3593
0.666446	-20.2328
0.667209	-21.1064
0.667972	-21.9799
0.668743	-22.6351
0.67027	-24.3822
0.671033	-25.2557
0.671796	-26.1292
0.672567	-26.7844
0.674126	-27.6581
0.674889	-28.5316
0.675652	-29.4052
0.676415	-30.2787
